Life expectancy at birth,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.118,62.374,62.895,63.429,63.976,64.537,65.11,65.692,66.281,66.868,67.447,68.009,68.545,69.049,69.52,69.958,70.371,70.765,71.149,71.525,71.892,72.245,72.582,72.901,73.203,73.494,73.778,74.061,74.347,74.636,74.927,75.216,75.497,75.769,76.03,76.282,76.529,76.775,77.022,77.272,77.525,77.779,78.034,78.287,78.536,78.782,79.024,79.263,79.499,79.732,79.96,80.182,80.396,80.606,80.816,81.035,81.275,81.541,81.832,82.142,82.457
Hungary,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,37.33592,,,,,,,,,,39.75808,,,,,,,,,,42.05504,,,,,,,,,,50.2128,,,,,,,,,,,56.55552,,,,,,,,61.29056,62.07,62.46,64.03,63.87,65.43,66.88,66.04,66.41,67.42,67.32,68.09,69.02,67.96,68.98,69.48,69.17,69.93,69.5,69.33,69.4,69.24,69.13,69.76,69.63,69.35,69.4,69.69,69.95,69.49,69.7,69.11,69.17,69.39,68.95,68.99,68.93,69.14,69.61,70,69.44,69.41,69.46,69.21,69.25,69.68,70.08,70.67,71.07,71,71.14,71.86,72.49,72.61,72.63,73.04,72.99,73.45,73.45,73.48,73.989,74.201
Iceland,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4,27.95,31.97,40.22,40.13,25.39,42.9,41.35,18.31,32.94,41.39,37.14,36.61,30.01,42.1,48.6,43.14,38.15,42.34,39.49,34.84,29.67,19.76,27.09,26.96,35.11,34.81,34.21,27.2,37.54,34.64,28.03,38.37,35.02,25.15,36.61,39.62,36.54,40.25,44.64,41.61,39.52,42.32,35.82,17.74,30.27,42.19,45.46,44.97,40.6,46.8,52.47,36.58,47.49,52.73,52.58,44.79,52.52,53.22,48.52,44.2,49.79,46.64,52.98,50.52,48.84,52.66,49.51,53.58,49.74,45.79,52.36,52.67,55.47,56,58.95,51.92,53.66,54.53,59.02,51.07,58.49,54.58,54.21,56.95,57.67,54,58.23,60.79,58.12,61.81,60.55,60.23,60.83,62.16,63.02,63.37,59.49,62.75,63.52,65.09,65.99,65.79,63.18,64.12,65.22,66.8,67.53,68.56,69.39,70.17,71.44,71.01,71.05,72.49,72.31,73.36,73.3,72.98,73.47,73.43,72.66,74.09,73.47,73.68,72.98,73.57,73.84,73.23,73.73,73.94,73.71,73.81,73.55,74.46,74.31,74.37,75.35,76.71,76.11,76.42,76.63,76.66,76.35,76.99,76.63,77.43,77.56,78.09,77.23,77.08,78.15,77.98,77.94,78.77,78.98,79.24,78.04,78.84,78.95,79.67,79.46,79.72,80.64,80.5,81.06,80.95,81.43,81.12,81.31,81.846,81.523,81.663
India,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4424,,,,,,,,,,24.2664,,,,,,,,,,23.4856,,,,23.98,,,,,,23.1464,,,,24.02,,,,,,24.8584,,,,27.61,,,,,,29.3144,,,,30.95,,,,,,32.5928,,,,35.03,,,,,36.775,37.055,37.62,38.193,38.775,39.365,39.965,40.573,41.19,41.818,42.456,43.106,43.766,44.436,45.113,45.793,46.473,47.148,47.817,48.48,49.142,49.813,50.495,51.187,51.881,52.563,53.216,53.827,54.384,54.883,55.326,55.718,56.072,56.403,56.716,57.016,57.301,57.571,57.828,58.078,58.33,58.59,58.865,59.158,59.469,59.8,60.147,60.503,60.862,61.222,61.58,61.934,62.285,62.634,62.981,63.328,63.676,64.028,64.382,64.737,65.091
Indonesia,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,32.5,,,,,35,,,,,27.5,,,,,27.5,,,37.072,37.518,38.405,39.281,40.146,41,41.842,42.672,43.488,44.287,45.066,45.822,46.554,47.26,47.943,48.608,49.26,49.905,50.548,51.191,51.832,52.469,53.097,53.712,54.312,54.897,55.465,56.019,56.56,57.088,57.604,58.107,58.598,59.077,59.544,60,60.445,60.88,61.304,61.718,62.123,62.518,62.904,63.281,63.649,64.008,64.36,64.703,65.038,65.365,65.682,65.985,66.275,66.554,66.829,67.112,67.416,67.751,68.118,68.515,68.935
Iran,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6,,,,,,,,,,36.233,36.723,37.692,38.638,39.559,40.457,41.331,42.181,43.009,43.814,44.599,45.362,46.106,46.831,47.536,48.217,48.866,49.483,50.071,50.64,51.246,51.965,52.806,53.728,54.652,55.362,55.593,55.22,54.243,52.774,51.088,49.551,48.508,48.203,48.723,50.064,52.102,54.532,57.065,59.535,61.782,63.697,65.287,66.57,67.538,68.215,68.659,68.967,69.225,69.48,69.761,70.077,70.401,70.717,71.026,71.33,71.629,71.919,72.199,72.469,72.727
Iraq,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2,,,,,,,,,,37.062,37.747,39.101,40.423,41.713,42.972,44.2,45.396,46.561,47.695,48.799,49.871,50.911,51.916,52.883,53.807,54.682,55.505,56.273,56.986,57.672,58.37,59.083,59.781,60.413,60.816,60.795,60.278,59.294,57.964,56.549,55.385,54.753,54.83,55.66,57.185,59.239,61.516,63.742,65.766,67.467,68.79,69.793,70.536,71.026,71.292,71.375,71.332,71.213,71.044,70.819,70.503,70.077,69.552,68.972,68.425,68.01,67.794,67.812,68.06,68.496
Ireland,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7,25,30,20.55,20,35,37.7,,,,,,,,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4,,,,,,,,,,53.8,,,,,,,,,,,,,,,57.6,,,,,,,,,,58.9,,,,,60,,,,,61.4,,,,65.61,64.78,67.2,67.96,68.07,68.06,69.01,69.06,69.36,69.49,70.23,69.69,69.99,70.24,70.49,70.69,70.2,71.24,70.93,70.85,70.89,71.68,71.02,71.24,71.18,71.76,71.86,72,71.98,72.25,72.6,72.96,73.23,73.26,73.71,73.65,73.72,74.52,74.55,74.58,74.98,75.14,75.54,75.4,75.91,75.58,75.94,76.08,76.3,76.2,76.66,77.24,77.73,78.24,78.64,79.4,79.73,79.655,79.94,80.099,80.35
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.172,64.498,65.128,65.716,66.26,66.763,67.223,67.644,68.027,68.378,68.703,69.007,69.297,69.579,69.855,70.123,70.374,70.604,70.812,71.003,71.185,71.372,71.572,71.794,72.039,72.308,72.597,72.895,73.194,73.489,73.774,74.046,74.306,74.82,75.11,75.44,75.27,75.65,76.01,76.61,77.08,76.93,76.8,77.39,77.64,77.62,78.23,78.12,78.29,78.57,78.75,79.16,79.15,79.5,79.96,80.02,80.37,80.46,80.836,81.101,81.359
Italy,29.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.69,31.6,31.75,31.31,33.6,34.88,34.32,33.95,32.74,34.2,34.29,35.18,36.6,36.83,35.1,35.97,36.92,39.05,38.5,38.46,38.84,39.79,39.91,39.61,40.7,43.29,42.33,43.67,41.66,43.52,42.99,43.15,44.43,43.94,45.09,45.45,43.19,44.67,46.75,44.77,48.98,48.46,49.89,42.34,39.27,37.69,25.62,42.1,45.51,49.25,50.01,51.45,51.51,51.31,50.96,52.58,52.67,52.29,55.2,54.78,54.77,56.29,56.86,56.22,56.75,55.49,56.13,57.64,56.95,54.62,52.45,49.19,52.34,54.78,58.97,61.18,63.45,64.11,65.77,65.31,65.94,66.58,67.9,68.25,67.64,67.81,68.87,69.32,69.21,69.85,69.24,69.35,70.4,70.27,71.02,71.06,70.88,70.9,71.66,71.91,72.19,72.13,72.85,72.76,73.11,73.48,73.83,74.16,74.12,74.51,74.98,74.8,75.56,75.67,76,76.42,76.6,77,77.06,77.07,77.44,77.72,77.93,78.19,78.52,78.82,78.92,79.32,79.73,80.01,80.25,80.33,81.19,81.18,81.59,81.111,81.236,81.601,81.735
Jamaica,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2,40.1,38.1,37.2,37.8,36.9,35.5,38.6,37.6,34.3,37.3,39.2,38.6,39,37.4,37.6,37,39.1,37.6,37.8,38.1,40.4,34.6,33.6,37.6,32.4,29.5,36.8,37.3,36.7,37.9,34.4,37.5,38.2,37,35.6,31.7,26.4,36.6,35.4,30.7,37,38,38.6,38.9,40.7,39.4,41.6,43,45.3,42.7,44.2,41.6,44.4,44,44.4,47.2,45.9,48.5,47.6,49.4,49.8,50.3,49.1,49.1,51.4,50.4,51.7,53.9,56.632,57.122,58.082,59.001,59.88,60.718,61.514,62.269,62.981,63.649,64.27,64.843,65.367,65.845,66.28,66.676,67.038,67.373,67.686,67.981,68.261,68.525,68.77,68.999,69.213,69.422,69.636,69.858,70.087,70.318,70.54,70.739,70.9,71.016,71.082,71.098,71.065,70.996,70.905,70.8,70.693,70.589,70.493,70.411,70.348,70.31,70.296,70.305,70.336,70.393,70.483,70.611,70.78,70.988,71.228,71.495,71.781,72.073,72.362,72.639,72.896
Japan,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.42584,,,,,36.59264,,,,,36.79944,,,,,37.03648,,,,,37.3284,,,,,37.67568,,,,,38.09784,,,,,38.6,,,,,39.22192,,,,,39.9736,,,,,40.89944,,,,,42.04432,,42.61632,,,,,45.65936,,,,,,,,48.24248,,49,,,49,,48.5,46,40,30.5368,46.5,51.75,56.89,57.76,59.3,60.99,63.03,63.37,64.61,65.77,65.63,65.5,67.12,67.51,67.8,68.45,68.73,69.81,70.28,70.33,71.14,71.43,71.75,71.98,72.07,72.89,73.42,73.48,73.91,74.41,74.81,75.38,75.7,76.21,76.19,76.6,77.11,77.14,77.54,77.84,78.26,78.67,78.58,79.01,79.04,79.31,79.36,79.5,79.91,79.76,80.46,80.69,80.77,80.75,81.35,81.7,82,82.07,82.36,82.27,82.68,82.87,82.81,83.03,83.212
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,,,,,,,,,,,,,,,46.301,46.744,47.62,48.473,49.302,50.108,50.892,51.654,52.396,53.121,53.833,54.535,55.233,55.93,56.629,57.334,58.045,58.761,59.479,60.195,60.908,61.615,62.313,62.996,63.66,64.298,64.906,65.483,66.026,66.535,67.01,67.452,67.864,68.252,68.616,68.96,69.284,69.59,69.878,70.149,70.402,70.636,70.85,71.044,71.221,71.381,71.529,71.665,71.793,71.917,72.037,72.155,72.27,72.384,72.497,72.612,72.732,72.858,72.989,73.124,73.263
Kazakhstan,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,,,,,23.58,,,,,23.8,,,,,,,,,,,,,,,,,,,,,,,,28.6,,,28.1,,,,,,,,,,30.6,,,,,,,,,,,,,,,,36.87,,,,,,,,,,,,,44.47,,,,,,,,,,,54.159,54.377,54.813,55.247,55.68,56.112,56.543,56.973,57.404,57.836,58.271,58.709,59.15,59.594,60.035,60.471,60.896,61.305,61.694,62.059,62.395,62.697,62.968,63.214,63.441,63.659,63.881,64.116,64.37,64.648,64.961,65.319,65.714,66.124,66.523,66.87,67.12,67.242,67.221,67.052,66.732,66.268,65.704,65.093,64.485,63.943,63.53,63.275,63.187,63.269,63.496,63.824,64.191,64.548,64.873,65.163,65.429,65.701,65.999,66.322,66.665
Kenya,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,,,,,23.9248,,,,,,,,,,26.3736,,,,,,,,28.8224,,,,,41.586,41.741,42.074,42.457,42.888,43.367,43.893,44.462,45.068,45.7,46.348,46.997,47.635,48.251,48.841,49.409,49.963,50.515,51.074,51.644,52.22,52.799,53.371,53.933,54.48,55.021,55.564,56.113,56.666,57.212,57.738,58.227,58.662,59.028,59.312,59.513,59.634,59.683,59.661,59.559,59.347,58.988,58.473,57.81,57.029,56.164,55.253,54.357,53.536,52.841,52.332,52.056,52.008,52.173,52.534,53.061,53.716,54.44,55.179,55.894,56.551
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korea Dem. Rep.,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,23.50816,,,,,24.98112,,,,,26.9768,,,,,29.5344,,,,,33.60512,,,,,37.38824,,,,,42.57104,,,,44.88888,,,,,,,,48.017,48.551,49.58,50.534,51.411,52.213,52.942,53.601,54.198,54.746,55.259,55.757,56.257,56.78,57.338,57.946,58.611,59.324,60.072,60.846,61.634,62.423,63.199,63.946,64.652,65.306,65.901,66.44,66.929,67.372,67.777,68.157,68.521,68.872,69.21,69.543,69.883,70.216,70.509,70.724,70.757,70.489,69.884,68.968,67.82,66.612,65.564,64.85,64.576,64.757,65.322,66.125,66.959,67.659,68.161,68.444,68.543,68.559,68.577,68.623,68.712
Korea Rep.,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,,,,,23.50816,,,,,24.98112,,,,,26.9768,,,,,29.5344,,,,,33.60512,,,,,37.38824,,,,,42.57104,,,,44.88888,,,,,,,,46.667,46.973,47.592,48.222,48.865,49.52,50.187,50.866,51.558,52.263,52.982,53.714,54.46,55.22,55.995,56.794,57.63,58.501,59.396,60.297,61.169,61.972,62.682,63.287,63.787,64.2,64.555,64.891,65.247,65.64,66.086,66.59,67.136,67.71,68.303,68.906,69.507,70.096,70.666,71.21,71.722,72.2,72.651,73.082,73.499,73.91,74.323,74.745,75.181,75.634,76.114,76.627,77.168,77.725,78.283,78.819,79.305,79.723,80.064,80.325,80.512
Korea United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,53.869,54.304,55.163,55.996,56.803,57.585,58.341,59.073,59.779,60.46,61.117,61.751,62.363,62.952,63.521,64.07,64.598,65.106,65.595,66.066,66.519,66.957,67.379,67.787,68.181,68.561,68.927,69.276,69.61,69.928,70.231,70.519,70.794,71.056,71.305,71.54,71.761,71.967,72.157,72.332,72.492,72.634,72.761,72.874,72.976,73.07,73.159,73.246,73.333,73.423,73.514,73.605,73.694,73.78,73.864,73.949,74.038,74.132,74.234,74.343,74.458
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.004,52.226,52.668,53.109,53.55,53.99,54.43,54.87,55.31,55.752,56.197,56.645,57.096,57.548,57.999,58.443,58.877,59.296,59.696,60.074,60.423,60.74,61.026,61.286,61.527,61.758,61.989,62.229,62.487,62.769,63.085,63.444,63.84,64.26,64.689,65.104,65.478,65.791,66.03,66.189,66.269,66.275,66.231,66.161,66.083,66.017,65.983,65.986,66.028,66.107,66.211,66.317,66.409,66.476,66.523,66.565,66.628,66.734,66.899,67.124,67.4
Laos,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9,,,,,,,,,,41.922,42.032,42.253,42.473,42.691,42.908,43.124,43.339,43.553,43.766,43.978,44.189,44.399,44.609,44.819,45.028,45.235,45.439,45.643,45.849,46.059,46.276,46.503,46.743,46.998,47.266,47.547,47.837,48.139,48.457,48.795,49.159,49.556,49.991,50.468,50.993,51.573,52.205,52.882,53.599,54.347,55.121,55.908,56.696,57.473,58.226,58.94,59.615,60.253,60.857,61.442,62.026,62.624,63.241,63.876,64.513,65.133,65.712,66.237,66.704,67.116
Latvia,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9544,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7,,,,,,,,,,,58.084,,,,,,,,,,,,,,,64.528,64.929,65.703,66.421,67.083,67.687,68.235,68.724,69.156,69.54,70.3,70.54,69.88,70.29,71.52,71.2,71.16,70.82,70.46,70.2,70.22,70.57,70.25,70.2,70.11,69.28,69.41,69.45,69.35,68.87,69.19,69.13,69.71,69.47,69.51,69.63,71.01,71.05,70.99,70.46,69.51,69.24,68.57,66.78,65.53,66.33,68.92,69.55,69.19,69.98,70.57,70.32,70.67,71.17,71.5,71.24,71.14,71.2,72.518,72.745,73.039
Lebanon,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7,,,,,,,,,,54.247,54.687,55.548,56.368,57.149,57.889,58.588,59.248,59.867,60.444,60.981,61.478,61.936,62.358,62.749,63.116,63.467,63.807,64.137,64.457,64.761,65.04,65.287,65.498,65.677,65.83,65.969,66.104,66.246,66.4,66.568,66.746,66.929,67.114,67.3,67.495,67.705,67.934,68.182,68.446,68.718,68.987,69.243,69.48,69.694,69.884,70.051,70.205,70.352,70.497,70.645,70.8,70.963,71.135,71.315,71.502,71.694,71.887,72.079,72.268,72.455
Lesotho,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8,,,,,41.014,41.294,41.86,42.439,43.031,43.634,44.246,44.861,45.47,46.057,46.603,47.09,47.501,47.829,48.08,48.264,48.401,48.522,48.656,48.822,49.037,49.309,49.634,50.005,50.425,50.895,51.418,51.984,52.582,53.197,53.809,54.395,54.945,55.452,55.918,56.386,56.919,57.537,58.216,58.9,59.47,59.785,59.742,59.28,58.391,57.083,55.397,53.472,51.464,49.499,47.726,46.275,45.195,44.508,44.226,44.329,44.757,45.392,46.119,46.866,47.57
Liberia,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1,,,,,33.819,34.019,34.419,34.816,35.209,35.6,35.988,36.374,36.756,37.136,37.513,37.887,38.26,38.63,38.999,39.368,39.738,40.11,40.482,40.854,41.228,41.607,41.989,42.366,42.728,43.057,43.338,43.558,43.71,43.792,43.806,43.758,43.662,43.536,43.39,43.227,43.044,42.845,42.638,42.441,42.265,42.118,42.016,41.983,42.045,42.246,42.629,43.204,43.967,44.901,45.981,47.17,48.413,49.656,50.857,51.98,53.002,53.929,54.77,55.522,56.19
Libya,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,41.87,42.128,42.644,43.158,43.671,44.182,44.692,45.199,45.704,46.207,46.708,47.205,47.699,48.191,48.681,49.164,49.633,50.089,50.542,51.005,51.502,52.062,52.7,53.426,54.239,55.133,56.092,57.089,58.096,59.096,60.076,61.031,61.963,62.87,63.742,64.567,65.332,66.036,66.681,67.271,67.819,68.345,68.863,69.382,69.901,70.411,70.892,71.327,71.705,72.027,72.299,72.536,72.756,72.975,73.199,73.432,73.672,73.911,74.143,74.366,74.58
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7,,,,,,,,,,,,,,,,,,,,,,,,,50.5,,,,,,,,,,,,,,,,,,,,,,,,,63.56,63.871,64.492,65.111,65.728,66.342,66.951,67.554,68.143,67.68,70.28,70.47,69.4,70.58,71.94,71.69,71.85,71.92,71.61,71.22,71.08,72.02,71.26,71.61,71.54,71.15,71.29,71.04,70.83,70.7,70.68,70.66,71.06,70.98,70.49,70.66,72.33,72.14,71.98,71.66,71.37,70.55,70.4,69.01,68.58,69.02,70.15,70.99,71.32,71.71,72.18,71.79,71.98,72.24,72.23,71.7,71.47,71.39,71.84,71.71,71.943
